metric_code,metric_type,period_start,period_end,numerator,denominator,metric_value,calculation_version,pipeline_run_id,status
appointment_volume,COUNT,2026-01-01,2026-12-31,702.0,,702.0,1.0.0,20260901_232338,VALID
appointment_completion_rate,RATE,2026-01-01,2026-12-31,38.0,702.0,0.0541,1.0.0,20260901_232338,VALID
appointment_cancellation_rate,RATE,2026-01-01,2026-12-31,15.0,702.0,0.0214,1.0.0,20260901_232338,VALID
appointment_no_show_rate,RATE,2026-01-01,2026-12-31,0.0,702.0,0.0,1.0.0,20260901_232338,VALID
average_wait_minutes,AVERAGE,2026-01-01,2026-12-31,,,15.0,1.0.0,20260901_232338,VALID
median_wait_minutes,MEDIAN,2026-01-01,2026-12-31,,,15.0,1.0.0,20260901_232338,VALID
encounter_volume,COUNT,2026-01-01,2026-12-31,415.0,,415.0,1.0.0,20260901_232338,VALID
average_consultation_duration,AVERAGE,2026-01-01,2026-12-31,,,0.0,1.0.0,20260901_232338,VALID
encounters_per_facility,AVERAGE,2026-01-01,2026-12-31,415.0,405.0,1.0247,1.0.0,20260901_232338,VALID
encounters_per_provider,AVERAGE,2026-01-01,2026-12-31,415.0,405.0,1.0247,1.0.0,20260901_232338,VALID
referral_volume,COUNT,2026-01-01,2026-12-31,154.0,,154.0,1.0.0,20260901_232338,VALID
referral_completion_rate,RATE,2026-01-01,2026-12-31,11.0,154.0,0.0714,1.0.0,20260901_232338,VALID
referral_pending_rate,RATE,2026-01-01,2026-12-31,143.0,154.0,0.9286,1.0.0,20260901_232338,VALID
avg_referral_completion_days,DURATION,2026-01-01,2026-12-31,,,0.0,1.0.0,20260901_232338,VALID
hypertension_followup_rate,RATE,2026-01-01,2026-12-31,81.0,81.0,1.0,1.0.0,20260901_232338,VALID
chronic_followup_adherence,RATE,2026-01-01,2026-12-31,154.0,154.0,1.0,1.0.0,20260901_232338,VALID
unique_patients_served,COUNT,2026-01-01,2026-12-31,415.0,,415.0,1.0.0,20260901_232338,VALID
patients_served_per_facility,AVERAGE,2026-01-01,2026-12-31,415.0,405.0,1.0247,1.0.0,20260901_232338,VALID
