Table,Column,Data_Type,Nullable_In_Schema,Is_Primary_Key,Null_Count,Total_Rows,Null_Percentage,Status
alembic_version,version_num,str,False,True,0,1,0.0,COMPLETE
appointments,notes,str,True,False,637,637,100.0,SPARSE_OPTIONAL
appointments,cancelled_at,"datetime64[us, UTC]",True,False,623,637,97.8,SPARSE_OPTIONAL
appointments,cancelled_by,float64,True,False,623,637,97.8,SPARSE_OPTIONAL
appointments,cancellation_reason,str,True,False,623,637,97.8,SPARSE_OPTIONAL
appointments,reason,str,True,False,171,637,26.84,NORMAL_OPTIONAL
appointments,id,object,False,True,0,637,0.0,COMPLETE
appointments,patient_id,object,False,False,0,637,0.0,COMPLETE
appointments,provider_id,int64,False,False,0,637,0.0,COMPLETE
appointments,facility_id,object,False,False,0,637,0.0,COMPLETE
appointments,appointment_date,datetime64[s],False,False,0,637,0.0,COMPLETE
appointments,start_time,object,False,False,0,637,0.0,COMPLETE
appointments,end_time,object,False,False,0,637,0.0,COMPLETE
appointments,appointment_type,str,False,False,0,637,0.0,COMPLETE
appointments,status,str,False,False,0,637,0.0,COMPLETE
appointments,created_at,"datetime64[us, UTC]",False,False,0,637,0.0,COMPLETE
appointments,updated_at,"datetime64[us, UTC]",False,False,0,637,0.0,COMPLETE
appointments,created_by,int64,True,False,0,637,0.0,COMPLETE
appointments,updated_by,int64,True,False,0,637,0.0,COMPLETE
consents,expires_at,"datetime64[s, UTC]",True,False,11,11,100.0,SPARSE_OPTIONAL
consents,revoked_at,"datetime64[us, UTC]",True,False,8,11,72.73,NORMAL_OPTIONAL
consents,notes,str,True,False,8,11,72.73,NORMAL_OPTIONAL
consents,id,object,False,True,0,11,0.0,COMPLETE
consents,patient_id,object,False,False,0,11,0.0,COMPLETE
consents,consent_artefact_id,str,True,False,0,11,0.0,COMPLETE
consents,purpose,str,False,False,0,11,0.0,COMPLETE
consents,scope,str,False,False,0,11,0.0,COMPLETE
consents,status,str,False,False,0,11,0.0,COMPLETE
consents,granted_by,int64,True,False,0,11,0.0,COMPLETE
consents,granted_at,"datetime64[us, UTC]",False,False,0,11,0.0,COMPLETE
consents,created_at,"datetime64[us, UTC]",False,False,0,11,0.0,COMPLETE
consents,updated_at,"datetime64[us, UTC]",False,False,0,11,0.0,COMPLETE
consultation_participants,left_at,"datetime64[us, UTC]",True,False,48,86,55.81,NORMAL_OPTIONAL
consultation_participants,id,object,False,True,0,86,0.0,COMPLETE
consultation_participants,consultation_id,object,False,False,0,86,0.0,COMPLETE
consultation_participants,user_id,int64,False,False,0,86,0.0,COMPLETE
consultation_participants,role,str,False,False,0,86,0.0,COMPLETE
consultation_participants,joined_at,"datetime64[us, UTC]",True,False,0,86,0.0,COMPLETE
consultation_participants,duration_seconds,int64,False,False,0,86,0.0,COMPLETE
consultation_participants,connection_status,str,False,False,0,86,0.0,COMPLETE
consultation_participants,reconnect_count,int64,False,False,0,86,0.0,COMPLETE
consultation_participants,created_at,"datetime64[us, UTC]",False,False,0,86,0.0,COMPLETE
consultation_participants,updated_at,"datetime64[us, UTC]",False,False,0,86,0.0,COMPLETE
consultations,encounter_id,object,True,False,115,129,89.15,SPARSE_OPTIONAL
