Table,Rows,Columns,Primary_Key,Foreign_Keys,Earliest_Record,Latest_Record
users,2394,8,id,1,2026-09-01 07:47:15.867961+00:00,2026-09-01 19:27:58.896631+00:00
facilities,839,9,id,0,2026-09-01 10:30:21.577652+00:00,2026-09-01 19:28:00.021172+00:00
patients,833,18,id,3,2026-09-01 09:18:25.342689+00:00,2026-09-01 19:28:00.192994+00:00
appointments,637,18,id,6,2026-09-01,2026-09-10
encounters,371,15,id,6,2026-09-01 10:46:06.990565+00:00,2026-09-01 19:28:00.972396+00:00
referrals,139,36,id,13,2026-09-01 11:12:29.372859+00:00,2026-09-01 19:28:02.148377+00:00
medications,135,10,id,0,2026-09-01 11:32:35.725416+00:00,2026-09-01 19:28:01.791660+00:00
consultations,129,18,id,7,2026-09-01 15:47:18.652015+00:00,2026-09-01 19:28:02.772341+00:00
diagnostic_tests,128,9,id,0,2026-09-01 11:32:17.095169+00:00,2026-09-01 19:28:01.282899+00:00
diagnostic_order_items,119,7,id,2,N/A,N/A
diagnostic_orders,119,14,id,5,2026-09-01 11:32:18.507917+00:00,2026-09-01 19:28:01.446495+00:00
notifications,117,21,id,2,2026-09-01 12:59:24.915837+00:00,2026-09-01 16:52:30.975397+00:00
vitals,112,14,id,3,2026-09-01 10:46:17.144725+00:00,2026-09-01 19:28:01.096640+00:00
prescription_items,110,11,id,2,N/A,N/A
prescriptions,110,17,id,8,2026-09-01 11:32:36.791465+00:00,2026-09-01 19:28:01.979062+00:00
notification_preferences,90,13,id,1,2026-09-01 12:59:24.964749+00:00,2026-09-01 16:52:31.010067+00:00
consultation_participants,86,11,id,2,2026-09-01 15:47:22.884655+00:00,2026-09-01 19:28:03.039074+00:00
diagnostic_results,85,16,id,5,2026-09-01 11:32:21.435314+00:00,2026-09-01 19:28:01.592140+00:00
queue_entries,78,13,id,3,2026-09-01 10:30:31.202591+00:00,2026-09-01 19:28:00.662134+00:00
interoperability_audits,64,10,id,2,N/A,N/A
system_checks,22,4,id,0,2026-09-01 07:17:55.167036+00:00,2026-09-01 16:52:30.003306+00:00
patient_identifiers,15,9,id,1,2026-09-01 16:45:15.399916+00:00,2026-09-01 19:28:03.304271+00:00
consents,11,13,id,2,2026-09-01 16:45:15.572345+00:00,2026-09-01 19:28:03.509540+00:00
alembic_version,1,1,version_num,0,N/A,N/A
